gene,tissue_id,tissue,cell_type_id,cell_type,n_cells,mean_expr,pct_cells,tpc
PITX1,UBERON:0000004,nose,CL:0000000,cell,29162,1.8240906937967218,0.093928862462919,0.0935267026721915
PITX1,UBERON:0000004,nose,CL:0000034,stem cell,3492,1.7995306235681559,0.09077910936646996,0.01119934317712409
PITX1,UBERON:0000004,nose,CL:0000036,epithelial fate stem cell,3492,1.7995306235681559,0.09077910936646996,0.01119934317712409
PITX1,UBERON:0000004,nose,CL:0000057,fibroblast,7,2.2838901792253767,0.03070175438596491,2.245000064142859e-05
PITX1,UBERON:0000004,nose,CL:0000064,ciliated cell,2329,1.7992459629266853,0.05684231079003246,0.007469435927698169
PITX1,UBERON:0000004,nose,CL:0000066,epithelial cell,24178,1.8359068031888495,0.1121017808873372,0.07754230221549435
PITX1,UBERON:0000004,nose,CL:0000067,ciliated epithelial cell,737,1.811288737862534,0.06484251275734647,0.002363664353247553
PITX1,UBERON:0000004,nose,CL:0000068,duct epithelial cell,61,1.6690437441966572,0.04670750382848392,0.00019563571987530628
PITX1,UBERON:0000004,nose,CL:0000071,blood vessel endothelial cell,2,2.4070029258728027,0.0035087719298245615,6.414285897551026e-06
PITX1,UBERON:0000004,nose,CL:0000076,squamous epithelial cell,812,2.2011885619515854,0.3879598662207358,0.0026042000744057165
PITX1,UBERON:0000004,nose,CL:0000079,stratified epithelial cell,416,2.086485055776743,0.5073170731707317,0.0013341714666906133
PITX1,UBERON:0000004,nose,CL:0000081,blood cell,1,1.9956902265548706,0.0022522522522522522,3.207142948775513e-06
PITX1,UBERON:0000004,nose,CL:0000082,epithelial cell of lung,99,1.7655504014756944,0.05082135523613963,0.0003175071519287758
PITX1,UBERON:0000004,nose,CL:0000084,T cell,69,1.7981541951497395,0.00869894099848714,0.00022129286346551038
PITX1,UBERON:0000004,nose,CL:0000094,granulocyte,1,1.9956902265548706,0.0022522522522522522,3.207142948775513e-06
PITX1,UBERON:0000004,nose,CL:0000097,mast cell,4,2.566558361053467,0.007042253521126761,1.2828571795102052e-05
PITX1,UBERON:0000004,nose,CL:0000113,mononuclear phagocyte,320,1.801197624206543,0.02954482503923922,0.001026285743608164
PITX1,UBERON:0000004,nose,CL:0000115,endothelial cell,2,2.4070029258728027,0.0035087719298245615,6.414285897551026e-06
PITX1,UBERON:0000004,nose,CL:0000145,professional antigen presenting cell,358,1.7658024793230622,0.024299192289418313,0.0011481571756616336
PITX1,UBERON:0000004,nose,CL:0000148,melanocyte,2,1.5928113460540771,0.02564102564102564,6.414285897551026e-06
PITX1,UBERON:0000004,nose,CL:0000150,glandular epithelial cell,12618,1.8241051350253605,0.11610018218288216,0.04046772972764942
PITX1,UBERON:0000004,nose,CL:0000151,secretory cell,19541,1.80871269062484,0.11543391834974569,0.0626707803620223
PITX1,UBERON:0000004,nose,CL:0000158,club cell,4025,1.8038994565217392,0.13759742923560783,0.012908750368821439
PITX1,UBERON:0000004,nose,CL:0000159,seromucus secreting cell,12017,1.8270105306544895,0.11384586234664393,0.038540236815435336
PITX1,UBERON:0000004,nose,CL:0000160,goblet cell,11949,1.826717978491924,0.11592417245527573,0.0383221510949186
PITX1,UBERON:0000004,nose,CL:0000234,phagocyte,320,1.801197624206543,0.02954482503923922,0.001026285743608164
PITX1,UBERON:0000004,nose,CL:0000235,macrophage,5,1.898671531677246,0.007374631268436578,1.6035714743877563e-05
PITX1,UBERON:0000004,nose,CL:0000236,B cell,56,1.6732219968523299,0.004976450724251311,0.00017960000513142873
PITX1,UBERON:0000004,nose,CL:0000237,keratinizing barrier epithelial cell,416,2.086485055776743,0.5073170731707317,0.0013341714666906133
PITX1,UBERON:0000004,nose,CL:0000240,stratified squamous epithelial cell,416,2.086485055776743,0.5073170731707317,0.0013341714666906133
