ModelID,PatientID,CellLineName,StrippedCellLineName,DepmapModelType,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,OncotreeCode,PatientSubtypeFeatures,RRID,Age,AgeCategory,Sex,PatientRace,PrimaryOrMetastasis,SampleCollectionSite,SourceType,SourceDetail,CatalogNumber,ModelType,TissueOrigin,ModelDerivationMaterial,ModelTreatment,PatientTreatmentStatus,PatientTreatmentType,PatientTreatmentDetails,Stage,StagingSystem,PatientTumorGrade,PatientTreatmentResponse,GrowthPattern,OnboardedMedia,FormulationID,SerumFreeMedia,PlateCoating,EngineeredModel,EngineeredModelDetails,CulturedResistanceDrug,PublicComments,CCLEName,HCMIID,PediatricModelType,ModelAvailableInDbgap,ModelSubtypeFeatures,WTSIMasterCellID,SangerModelID,COSMICID,ModelIDAlias
ACH-000129,PT-jzLNtr,NCI-H1341,NCIH1341,SCNEC,Cervix,Small Cell Neuroendocrine Carcinoma of the Cervix,Small Cell Neuroendocrine Carcinoma of the Cervix,,,CVCL_1463,26.0,Adult,Female,,Metastatic,cervix,ATCC,,CRL-5864,Cell Line,,,,,,,,,,,Suspension,MF-007-014,DMEM:F12 + 0.5% BSA + 2mM Glutamine + 10mM HEPES + 500uM sodium pyruvate + 20ug/ml Insulin + 10ug/ml Transferrin + 25nM Sodium Selenite + 50nM Hydrocortisone + 1ng/ml EGF + 10uM Ethanolamine + 10uM Phosphorylethanolamine + 100pM Triiodo-L-Thyronine ,True,,,,,Possibly misidentified. This line was originally though to be SCLC but has been reclassified as a Small Cell Neuroendocrine Carcinoma of the Cervix based on evidence from PMID: 38180245,NCIH1341_LUNG,,False,Approved for public sharing - CCLE,,1825.0,SIDM00646,1330964.0,
ACH-000490,PT-Ag8pMW,SF767,SF767,CESC,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,CESC,,CVCL_6950,66.0,Adult,Female,,Metastatic,abdomen,Academic lab,Linda Chin,,Cell Line,,,,,,,,,,,Adherent,MF-002-001,DMEM + 10% FBS,False,,,,,SNP fingerprinting confirms that this line is a ME-180 derivative. DepMap metadata has been updated (as of 22Q2) to reflect this.,SF767_CENTRAL_NERVOUS_SYSTEM,,False,Approved for public sharing - CCLE,,,SIDM00626,,
ACH-000556,PT-ahSjGm,SIHA,SIHA,CESC,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,CESC,,CVCL_0032,55.0,Adult,Female,,Primary,cervix,ATCC,,HTB-35,Cell Line,,,,,,,,,,,Adherent,MF-015-001,EMEM + 10% FBS,False,,,,,,SIHA_CERVIX,,False,Approved for public sharing - CCLE,,1354.0,SIDM01093,930297.0,
ACH-001017,PT-c34xau,BGC-823,BGC823,ECAD,Cervix,Cervical Adenocarcinoma,Endocervical Adenocarcinoma,ECAD,,CVCL_3360,30.0,Adult,Female,,Primary,cervix,,,,Cell Line,,,,,,,,,,,Adherent,,,,,,,,This line is a HeLa derivative (ICLAC). DepMap metadata has been updated (as of 22Q2) to reflect this.,BGC823_STOMACH,,False,Approved for public sharing - CCLE,,,SIDM01938,,
ACH-001071,PT-c34xau,GLC-82,GLC82,ECAD,Cervix,Cervical Adenocarcinoma,Endocervical Adenocarcinoma,ECAD,,CVCL_3371,30.0,Adult,Female,,Primary,cervix,ICLC,,HTL98006,Cell Line,,,,,,,,,,,Adherent,,,,,,,,This line is a HeLa derivative (ICLAC). DepMap metadata has been updated (as of 22Q2) to reflect this.,GLC82_LUNG,,False,Approved for public sharing - CCLE,,,,,
ACH-001086,PT-c34xau,HeLa,HELA,ECAD,Cervix,Cervical Adenocarcinoma,Endocervical Adenocarcinoma,ECAD,,CVCL_0030,30.0,Adult,Female,,Primary,cervix,ATCC,,,Cell Line,,,,,,,,,,,Adherent,MF-006-001,MEM + 10% FBS,False,,,,,,HELA_CERVIX,,False,Approved for public sharing - CCLE,,1799.0,SIDM00846,1298134.0,ACH-003581
ACH-001333,PT-9q6tDV,C-33 A,C33A,CESC,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,CESC,,CVCL_1094,66.0,Adult,Female,,Primary,cervix,ATCC,,HTB-31,Cell Line,,,,,,,,,,,Adherent,MF-015-001,EMEM + 10% FBS,False,,,,,,C33A_CERVIX,,False,HMB-MDS,,1761.0,SIDM00889,687505.0,
ACH-001334,PT-ERAmPK,C-4 I,C4I,CESC,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,CESC,,CVCL_2253,41.0,Adult,Female,,Primary,cervix,ATCC,,CRL-1594,Cell Line,,,,,,,,,,,Adherent,MF-020-001,Waymouth's MB 752_1 + 10% FBS,False,,,,,,C4I_CERVIX,,False,HMB-MDS,,561.0,SIDM00905,687506.0,
ACH-001335,PT-ERAmPK,C-4 II,C4II,CESC,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,CESC,,CVCL_1095,41.0,Adult,Female,,Primary,cervix,ATCC,,,Cell Line,,,,,,,,,,,Adherent,MF-020-001,Waymouth's MB 752_1 + 10% FBS,False,,,,,,C4II_CERVIX,,False,HMB-MDS,,,SIDM00906,,
ACH-001336,PT-QAGzTB,Ca Ski,CASKI,CESC,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,CESC,,CVCL_1100,40.0,Adult,Female,,Metastatic,small_intestine,ATCC,,CRL-1550,Cell Line,,,,,,,,,,,Adherent,MF-001-001,RPMI + 10% FBS,False,,,,,,CASKI_CERVIX,,False,HMB-MDS,,1767.0,SIDM00923,906824.0,
ACH-001341,PT-tTbVoL,DoTc2 4510,DOTC24510,MCCE,Cervix,Mixed Cervical Carcinoma,Mixed Cervical Carcinoma,MCCE,,CVCL_1181,,Unknown,Female,,Primary,cervix,ATCC,,CRL-7920,Cell Line,,,,,,,,,,,Adherent,MF-002-001,DMEM + 10% FBS,False,,,,,,DOTC24510_CERVIX,,False,HMB-MDS,,473.0,SIDM00864,906843.0,
ACH-001359,PT-Ag8pMW,ME-180,ME180,CESC,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,CESC,,CVCL_1401,66.0,Adult,Female,,Metastatic,abdomen,ATCC,,HTB-33,Cell Line,,,,,,,,,,,Adherent,MF-023-001,McCoy's 5A + 10% FBS,False,,,,,,ME180_CERVIX,,False,HMB-MDS,,1040.0,SIDM00627,687514.0,
ACH-001360,PT-wH5ORo,MS751,MS751,CESC,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,CESC,,CVCL_4996,47.0,Adult,Female,,Metastatic,lymph_node,ATCC,,HTB-34,Cell Line,,,,,,,,,,,Adherent,MF-015-001,EMEM + 10% FBS,False,,,,,,MS751_CERVIX,,False,HMB-MDS,,386.0,SIDM00638,1240179.0,
ACH-001402,PT-zjOA3C,SW756,SW756,CESC,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,CESC,,CVCL_1727,46.0,Adult,Female,,Primary,cervix,ATCC,,CRL-10302,Cell Line,,,,,,,,,,,Adherent,MF-021-001,L-15 + 10% FBS,False,,,,,,SW756_CERVIX,,False,HMB-MDS,,1984.0,SIDM01174,724839.0,
ACH-001451,PT-gPKmS2,BOKU,BOKU,CESC,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,CESC,,CVCL_1089,,Unknown,Female,,Primary,cervix,JCRB,,IFO50323,Cell Line,,,,,,,,,,,Adherent,MF-004-001,F12 + 10% FBS,False,,,,,,BOKU_CERVIX,,False,HMB-MDS,,,SIDM00073,,
