ModelID,S100A9,S100A8,CDKN2A,PITX1,KRT5,KRT6A,SERPINB5,CDC20,cell_name_clean
ACH-001113,6.3352885,4.0829325,0.0,3.6407597,7.8880367,10.64382,4.8759665,6.75781,LC1SQSF
ACH-001289,0.18575619,0.0,4.9793625,1.5057385,0.15312435,0.5913893,0.039685883,6.0560308,COGAR359
ACH-001339,0.70246077,0.14230756,0.7506134,0.18029939,0.25611937,0.18266052,0.01196358,7.389524,COLO794
ACH-001979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4583137,NZM11
ACH-002438,0.0,0.0,2.8674042,0.06939009,0.0,0.0,0.4130416,6.5331287,CCLFPEDS0026T
ACH-001538,7.611106,5.970205,7.6241155,5.2361407,5.720248,2.2402012,6.561201,6.95875,KKU213
ACH-000242,4.4889135,0.10727676,0.15501992,4.4220986,1.0576929,0.0955599,5.8556933,6.6441073,RT4
ACH-000708,0.0,0.0,5.4608574,3.9038289,0.0,0.08361233,5.6780467,6.4976077,SNU283
ACH-000327,0.12338015,0.15622962,3.268415,3.7077124,0.2293652,0.07532314,1.0244048,4.481583,NCIH1395
ACH-000233,8.286775,6.188361,5.778127,0.20598799,1.4586235,0.68166333,0.31440303,7.1344776,DEL
ACH-003284,0.0,0.0,3.6337218,5.0506105,0.0,0.0,0.0,1.095175,WI38
ACH-000461,0.35714883,0.2678378,0.37851495,5.0031614,1.9509909,1.768286,6.205107,7.6103015,SNU1196
ACH-000705,9.982737,8.832077,0.5316784,3.928844,1.8684734,9.277204,5.687523,6.7121553,LC1F
ACH-001794,0.116134495,1.1822028,8.007223,1.9629673,0.0,0.026447397,0.046020214,5.5054083,93T449
ACH-002023,0.08402343,0.0,7.520202,3.207112,0.039702725,0.07543268,6.6703024,6.291364,TGBC18TKB
ACH-000528,9.187466,2.9162683,6.138212,2.926322,1.0128189,0.23275775,1.1978339,6.938027,ABC1
ACH-002501,0.6061598,0.36194462,0.628251,0.86414057,0.26112035,0.07746451,0.14053917,6.473477,RMZ
ACH-001655,0.0,0.34843525,0.0,4.334597,0.08059627,0.0,0.0,7.809884,SKN
ACH-000167,0.6774857,0.0,4.0593033,0.1306568,0.5588945,0.038628623,0.38383862,6.6035285,KE97
ACH-000792,0.41951084,0.22095767,0.21456128,4.6005254,1.4197869,0.98262894,0.17409189,6.852848,BFTC909
ACH-001098,0.21643375,0.0,5.300336,5.596193,0.0,0.08424255,5.8722305,5.8080273,KCIMOH1
