DATASET,NLME_RESULT_ID,NLME_CURVE_ID,COSMIC_ID,CELL_LINE_NAME,SANGER_MODEL_ID,TCGA_DESC,DRUG_ID,DRUG_NAME,PUTATIVE_TARGET,PATHWAY_NAME,COMPANY_ID,WEBRELEASE,MIN_CONC,MAX_CONC,LN_IC50,AUC,RMSE,Z_SCORE
GDSC1,342,15814969,949154,OMC-1,SIDM00240,CESC,3,Rapamycin,MTORC1,PI3K/MTOR signaling,1045,Y,0.000391,0.1,-1.550754,0.924129,0.221459,0.351214
GDSC1,342,15815062,949154,OMC-1,SIDM00240,CESC,9,MG-132,"Proteasome, CAPN1",Protein stability and degradation,1045,Y,0.003906,1.0,1.35343,0.95335,0.054507,0.99407
GDSC1,342,15814743,949154,OMC-1,SIDM00240,CESC,11,Paclitaxel,Microtubule stabiliser,Mitosis,1045,Y,0.0004,0.1024,-2.280842,0.868463,0.089595,0.390504
GDSC1,342,15814982,949154,OMC-1,SIDM00240,CESC,32,Tozasertib,"AURKA, AURKB, AURKC, others",Mitosis,1045,Y,0.007813,2.0,3.461466,0.986577,0.033935,1.231961
GDSC1,342,15815012,949154,OMC-1,SIDM00240,CESC,41,S-Trityl-L-cysteine,KIF11,Mitosis,1045,Y,0.02,5.12,3.186337,0.960592,0.049385,1.238834
GDSC1,342,15815039,949154,OMC-1,SIDM00240,CESC,53,CGP-60474,"CDK1,CDK2,CDK5,CDK7,CDK9, PKC",Cell cycle,1045,Y,0.001,0.256,-2.302377,0.767123,0.125514,-0.170558
GDSC1,342,15815040,949154,OMC-1,SIDM00240,CESC,54,CGP-082996,CDK4,Cell cycle,1045,Y,0.02,5.12,3.547635,0.971163,0.076886,0.700634
GDSC1,342,15815052,949154,OMC-1,SIDM00240,CESC,60,BI-2536,"PLK1, PLK2, PLK3",Cell cycle,1045,Y,0.001,0.256,-0.801269,0.912206,0.070966,0.654135
GDSC1,342,15815057,949154,OMC-1,SIDM00240,CESC,83,JW-7-52-1,MTOR,PI3K/MTOR signaling,1045,Y,0.004687,1.2,-2.515063,0.511717,0.124109,-0.501501
GDSC1,342,15815058,949154,OMC-1,SIDM00240,CESC,86,A-443654,"AKT1, AKT2, AKT3",PI3K/MTOR signaling,1045,Y,0.004,1.024,-1.44377,0.696741,0.077469,-0.534075
GDSC1,342,15815059,949154,OMC-1,SIDM00240,CESC,87,GW843682X,PLK1,Cell cycle,1045,Y,0.001,0.256,-0.783584,0.913371,0.016863,0.905752
GDSC1,342,15815064,949154,OMC-1,SIDM00240,CESC,94,TGX221,PI3Kbeta,PI3K/MTOR signaling,1045,Y,0.039063,10.0,5.074911,0.986626,0.026817,1.038676
GDSC1,342,15814718,949154,OMC-1,SIDM00240,CESC,104,Bortezomib,Proteasome,Protein stability and degradation,1045,Y,7.8e-05,0.02,-5.415968,0.691603,0.069364,0.117881
GDSC1,342,15814744,949154,OMC-1,SIDM00240,CESC,110,Seliciclib,"CDK2, CDK7, CDK9",Cell cycle,1045,Y,0.0625,16.0,5.434784,0.985216,0.026388,1.559307
GDSC1,342,15814790,949154,OMC-1,SIDM00240,CESC,127,GSK269962A,"ROCK1, ROCK2",Cytoskeleton,1045,Y,0.009766,2.5,3.688617,0.986626,0.026817,1.238236
GDSC1,342,15583795,687505,C-33-A,SIDM00889,CESC,133,Doxorubicin,Anthracycline,DNA replication,1045,Y,0.004,1.024,-3.128838,0.439302,0.129773,-0.823734
GDSC1,342,15584141,687506,C-4-I,SIDM00905,CESC,133,Doxorubicin,Anthracycline,DNA replication,1045,Y,0.004,1.024,-2.490493,0.54056,0.066852,-0.437944
GDSC1,342,15584467,687514,ME-180,SIDM00627,CESC,133,Doxorubicin,Anthracycline,DNA replication,1045,Y,0.004,1.024,-1.950387,0.619977,0.261009,-0.111527
GDSC1,342,15607353,724839,SW756,SIDM01174,CESC,133,Doxorubicin,Anthracycline,DNA replication,1045,Y,0.004,1.024,-1.087293,0.733501,0.099448,0.410092
GDSC1,342,15667882,906824,Ca-Ski,SIDM00923,CESC,133,Doxorubicin,Anthracycline,DNA replication,1045,Y,0.004,1.024,-3.021661,0.459023,0.056738,-0.758961
GDSC1,342,15673675,906843,DoTc2-4510,SIDM00864,CESC,133,Doxorubicin,Anthracycline,DNA replication,1045,Y,0.004,1.024,-3.270469,0.416175,0.108555,-0.909331
GDSC1,342,15689792,907068,HT-3,SIDM00679,CESC,133,Doxorubicin,Anthracycline,DNA replication,1045,Y,0.004,1.024,-2.019051,0.613921,0.081863,-0.153024
GDSC1,342,15795993,924107,CAL-39,SIDM00935,CESC,133,Doxorubicin,Anthracycline,DNA replication,1045,Y,0.004,1.024,-2.237014,0.581186,0.077372,-0.284752
GDSC1,342,15805236,930297,SiHa,SIDM01093,CESC,133,Doxorubicin,Anthracycline,DNA replication,1045,Y,0.004,1.024,2.14187,0.96864,0.03814,2.361667
GDSC1,342,15805580,930298,SKG-IIIa,SIDM00381,CESC,133,Doxorubicin,Anthracycline,DNA replication,1045,Y,0.004,1.024,-1.125155,0.721482,0.047638,0.38721
GDSC1,342,15814791,949154,OMC-1,SIDM00240,CESC,133,Doxorubicin,Anthracycline,DNA replication,1045,Y,0.004,1.024,-1.887183,0.632376,0.115107,-0.073329
GDSC1,342,15840209,1240179,MS751,SIDM00638,CESC,133,Doxorubicin,Anthracycline,DNA replication,1045,Y,0.004,1.024,-1.000108,0.778067,0.047745,0.462783
GDSC1,342,15849371,1240212,SISO,SIDM00394,CESC,133,Doxorubicin,Anthracycline,DNA replication,1045,Y,0.004,1.024,-2.663604,0.513792,0.10178,-0.542566
GDSC1,342,15864644,1298134,HeLa,SIDM00846,CESC,133,Doxorubicin,Anthracycline,DNA replication,1045,Y,0.004,1.024,-1.961332,0.630855,0.159063,-0.118141
GDSC1,342,15583796,687505,C-33-A,SIDM00889,CESC,134,Etoposide,TOP2,DNA replication,1045,Y,0.0625,16.0,-0.386108,0.438326,0.112788,-0.995314
GDSC1,342,15584142,687506,C-4-I,SIDM00905,CESC,134,Etoposide,TOP2,DNA replication,1045,Y,0.0625,16.0,0.354411,0.555574,0.058428,-0.616795
GDSC1,342,15584468,687514,ME-180,SIDM00627,CESC,134,Etoposide,TOP2,DNA replication,1045,Y,0.0625,16.0,0.02449,0.503725,0.086441,-0.785435
GDSC1,342,15607354,724839,SW756,SIDM01174,CESC,134,Etoposide,TOP2,DNA replication,1045,Y,0.0625,16.0,1.231001,0.677285,0.059692,-0.168723
GDSC1,342,15667883,906824,Ca-Ski,SIDM00923,CESC,134,Etoposide,TOP2,DNA replication,1045,Y,0.0625,16.0,0.808761,0.620142,0.092222,-0.384552
GDSC1,342,15673676,906843,DoTc2-4510,SIDM00864,CESC,134,Etoposide,TOP2,DNA replication,1045,Y,0.0625,16.0,0.065304,0.510546,0.034917,-0.764573
GDSC1,342,15689793,907068,HT-3,SIDM00679,CESC,134,Etoposide,TOP2,DNA replication,1045,Y,0.0625,16.0,0.202105,0.531842,0.084627,-0.694647
GDSC1,342,15795994,924107,CAL-39,SIDM00935,CESC,134,Etoposide,TOP2,DNA replication,1045,Y,0.0625,16.0,1.489935,0.727461,0.17149,-0.036367
GDSC1,342,15805237,930297,SiHa,SIDM01093,CESC,134,Etoposide,TOP2,DNA replication,1045,Y,0.0625,16.0,4.988814,0.971001,0.13985,1.752098
GDSC1,342,15805581,930298,SKG-IIIa,SIDM00381,CESC,134,Etoposide,TOP2,DNA replication,1045,Y,0.0625,16.0,3.226886,0.879808,0.052261,0.851482
GDSC1,342,15814792,949154,OMC-1,SIDM00240,CESC,134,Etoposide,TOP2,DNA replication,1045,Y,0.0625,16.0,2.897088,0.879423,0.073791,0.682904
GDSC1,342,15840210,1240179,MS751,SIDM00638,CESC,134,Etoposide,TOP2,DNA replication,1045,Y,0.0625,16.0,0.508746,0.585197,0.053192,-0.537906
GDSC1,342,15849372,1240212,SISO,SIDM00394,CESC,134,Etoposide,TOP2,DNA replication,1045,Y,0.0625,16.0,-0.958603,0.347534,0.093827,-1.287947
GDSC1,342,15864645,1298134,HeLa,SIDM00846,CESC,134,Etoposide,TOP2,DNA replication,1045,Y,0.0625,16.0,0.1806,0.530302,0.09083,-0.705639
GDSC1,342,15583797,687505,C-33-A,SIDM00889,CESC,135,Gemcitabine,Pyrimidine antimetabolite,DNA replication,1045,Y,0.004,1.024,-5.102614,0.163438,0.095811,-1.017583
GDSC1,342,15584143,687506,C-4-I,SIDM00905,CESC,135,Gemcitabine,Pyrimidine antimetabolite,DNA replication,1045,Y,0.004,1.024,-3.100152,0.444915,0.098606,-0.278022
GDSC1,342,15584469,687514,ME-180,SIDM00627,CESC,135,Gemcitabine,Pyrimidine antimetabolite,DNA replication,1045,Y,0.004,1.024,-2.978483,0.46511,0.122829,-0.233087
GDSC1,342,15607355,724839,SW756,SIDM01174,CESC,135,Gemcitabine,Pyrimidine antimetabolite,DNA replication,1045,Y,0.004,1.024,-4.257625,0.285936,0.223405,-0.705507
GDSC1,342,15667884,906824,Ca-Ski,SIDM00923,CESC,135,Gemcitabine,Pyrimidine antimetabolite,DNA replication,1045,Y,0.004,1.024,-4.43605,0.259984,0.141954,-0.771404
GDSC1,342,15673677,906843,DoTc2-4510,SIDM00864,CESC,135,Gemcitabine,Pyrimidine antimetabolite,DNA replication,1045,Y,0.004,1.024,-5.34704,0.135372,0.117108,-1.107855
GDSC1,342,15689794,907068,HT-3,SIDM00679,CESC,135,Gemcitabine,Pyrimidine antimetabolite,DNA replication,1045,Y,0.004,1.024,-1.511648,0.689407,0.047645,0.308653
GDSC1,342,15795995,924107,CAL-39,SIDM00935,CESC,135,Gemcitabine,Pyrimidine antimetabolite,DNA replication,1045,Y,0.004,1.024,1.343317,0.95791,0.054095,1.363064
