kind,rank,z_sum,fdr_up,fdr_down,perturbagen,pert_type,cell_line,tissue,disease,dose,time,pubchem_id
mimicker,0,9.208,0.0019290276404298453,0.001010361617422471,fluoxetine,Chemical,HELA,uterine cervix,cervical adenocarcinoma,0.74 uM,3 h,3386.0
mimicker,1,9.199,0.0019290276404298453,0.001010361617422471,naphazoline,Chemical,THP1,blood,leukemia,1.11 uM,24 h,4436.0
mimicker,2,9.096,0.0019290276404298453,0.001010361617422471,daprodustat,Chemical,OVTOKO,ovary,ovarian adenocarcinoma,1.11 uM,24 h,91617630.0
mimicker,3,9.071,0.0019290276404298453,0.001010361617422471,SKI-II,Chemical,MCF7,breast,breast adenocarcinoma,1.11 uM,24 h,753704.0
mimicker,4,9.034,0.0019290276404298453,0.001010361617422471,AM-24,Chemical,PC3,prostate gland,prostate adenocarcinoma,0.01 uM,24 h,11862.0
mimicker,5,9.028,0.0019290276404298453,0.001010361617422471,trichloroethylene,Chemical,HA1E,kidney,,10 uM,6 h,6575.0
mimicker,6,9.02,0.0019290276404298453,0.001010361617422471,dipraglurant,Chemical,THP1,blood,leukemia,10 uM,24 h,44557636.0
mimicker,7,9.019,0.0019290276404298453,0.001010361617422471,EX-527,Chemical,THP1,blood,leukemia,1.11 uM,24 h,5113032.0
mimicker,8,8.983,0.0019290276404298453,0.001010361617422471,PF-02545920,Chemical,HELA,uterine cervix,cervical adenocarcinoma,0.08 uM,24 h,11581936.0
mimicker,9,8.966,0.0019290276404298453,0.001040544206578777,flunarizine,Chemical,NPC,central nervous system,,3.33 uM,24 h,941361.0
mimicker,10,8.947,0.0019290276404298453,0.001043522153260145,bortezomib,Chemical,A549,lung,lung cancer,20 uM,24 h,387447.0
mimicker,11,8.939,0.0019290276404298453,0.001010361617422471,fluspirilene,Chemical,MCF10A,breast,breast carcinoma,0.125 uM,24 h,3396.0
mimicker,12,8.927,0.0019290276404298453,0.001010361617422471,hydrocortisone,Chemical,HELA,uterine cervix,cervical adenocarcinoma,1.11 uM,24 h,5754.0
mimicker,13,8.916,0.0019290276404298453,0.001010361617422471,albendazole,Chemical,MCF10A,breast,breast carcinoma,3.33 uM,24 h,2082.0
mimicker,14,8.901,0.0019381557435784685,0.001010361617422471,ALX-5407,Chemical,MCF10A,breast,breast carcinoma,1.11 uM,24 h,6604909.0
mimicker,15,8.882,0.0019290276404298453,0.001010361617422471,lurasidone,Chemical,NPC,central nervous system,,25 uM,24 h,213046.0
mimicker,16,8.878,0.0019381557435784685,0.001010361617422471,clomethiazole,Chemical,MDAMB231,breast,breast adenocarcinoma,0.08 uM,24 h,10783.0
mimicker,17,8.859,0.001993235881204373,0.001010361617422471,dopamine,Chemical,THP1,blood,leukemia,2.22 uM,24 h,681.0
mimicker,18,8.856,0.002005732573638555,0.001010361617422471,fluticasone-propionate,Chemical,XC.R10,epithelium,,3.33 uM,24 h,444036.0
mimicker,19,8.849,0.0019381557435784685,0.001010361617422471,hydrocortisone,Chemical,HELA,uterine cervix,cervical adenocarcinoma,0.04 uM,24 h,5754.0
mimicker,20,8.845,0.0019290276404298453,0.001010361617422471,BRD-K26077185,Chemical,VCAP,prostate gland,prostate adenocarcinoma,4 uM,6 h,
mimicker,21,8.841,0.0019290276404298453,0.0010143212544690508,hexachlorophene,Chemical,HELA,uterine cervix,cervical adenocarcinoma,0.01 uM,24 h,3598.0
mimicker,22,8.837,0.0019290276404298453,0.001010361617422471,ritodrine,Chemical,PC3,prostate gland,prostate adenocarcinoma,0.08 uM,24 h,33572.0
mimicker,23,8.828,0.0019290276404298453,0.0010285515768242977,ST-4034917,Chemical,VCAP,prostate gland,prostate adenocarcinoma,10 uM,24 h,
mimicker,24,8.813,0.0019290276404298453,0.0013672579146985202,amikacin,Chemical,HT29,intestine,colon adenocarcinoma,0.37 uM,24 h,37768.0
mimicker,25,8.809,0.0019290276404298453,0.001010361617422471,crizotinib,Chemical,MCF10A,breast,breast carcinoma,0.04 uM,3 h,11626560.0
mimicker,26,8.804,0.0019290276404298453,0.001010361617422471,D-serine,Chemical,A549,lung,lung cancer,0.37 uM,24 h,71077.0
mimicker,27,8.8,0.0019290276404298453,0.001068773913362787,tazarotene,Chemical,A375,skin of body,melanoma,3.33 uM,24 h,5381.0
mimicker,28,8.795,0.0019290276404298453,0.0010520638971869066,BRD-K12641176,Chemical,P1A82,,,4 uM,24 h,
mimicker,29,8.794,0.0019290276404298453,0.001010361617422471,maxacalcitol,Chemical,MCF7,breast,breast adenocarcinoma,0.04 uM,24 h,6398761.0
