kind,rank,z_sum,fdr_up,fdr_down,perturbagen,pert_type,cell_line,tissue,disease,dose,time,pubchem_id
reverser,693214,-9.15,0.0019290276404298453,0.001010361617422471,aprepitant,Chemical,A375,skin of body,melanoma,3.33 uM,24 h,135413536.0
reverser,693213,-9.141,0.0019290276404298453,0.001010361617422471,BRD-K80767319,Chemical,VCAP,prostate gland,prostate adenocarcinoma,3.33 uM,24 h,
reverser,693212,-8.992,0.0019290276404298453,0.001010361617422471,amitriptyline,Chemical,NPC,central nervous system,,12.5 uM,24 h,2160.0
reverser,693211,-8.988,0.0019290276404298453,0.001010361617422471,MG-132,Chemical,HELA,uterine cervix,cervical adenocarcinoma,20 uM,24 h,462382.0
reverser,693210,-8.985,0.0019290276404298453,0.001010361617422471,PSI-7976,Chemical,PC3,prostate gland,prostate adenocarcinoma,10 uM,24 h,45375809.0
reverser,693209,-8.985,0.0019290276404298453,0.001010361617422471,ZK-200775,Chemical,MDAMB231,breast,breast adenocarcinoma,0.125 uM,24 h,208953.0
reverser,693208,-8.985,0.0019290276404298453,0.001010361617422471,BRD-K92431661,Chemical,PC3,prostate gland,prostate adenocarcinoma,10 uM,6 h,
reverser,693207,-8.945,0.0019290276404298453,0.001010361617422471,MBX-2982,Chemical,JURKAT,blood,leukemia,0.74 uM,24 h,25025505.0
reverser,693206,-8.9,0.0019290276404298453,0.0010144252731024792,imexon,Chemical,A375,skin of body,melanoma,3.33 uM,24 h,68791.0
reverser,693205,-8.882,0.0019290276404298453,0.001010361617422471,climbazole,Chemical,HELA,uterine cervix,cervical adenocarcinoma,1.11 uM,24 h,37907.0
reverser,693204,-8.875,0.0019290276404298453,0.0011387295768444205,BIBU-1361,Chemical,VCAP,prostate gland,prostate adenocarcinoma,10 uM,24 h,17756796.0
reverser,693203,-8.874,0.0019381557435784685,0.001010361617422471,modafinil,Chemical,NPC,central nervous system,,6.66 uM,24 h,4236.0
reverser,693202,-8.858,0.0019290276404298453,0.001010361617422471,BRD-K92458042,Chemical,A549,lung,lung cancer,10 uM,24 h,
reverser,693201,-8.852,0.0019290276404298453,0.001010361617422471,dasatinib,Chemical,MDAMB231,breast,breast adenocarcinoma,0.12 uM,3 h,3062316.0
reverser,693200,-8.845,0.0019381557435784685,0.001010361617422471,BRD-K76438898,Chemical,VCAP,prostate gland,prostate adenocarcinoma,10 uM,24 h,
reverser,693199,-8.841,0.0019290276404298453,0.001010361617422471,BRD-K22693056,Chemical,HT29,intestine,colon adenocarcinoma,0.125 uM,24 h,
reverser,693198,-8.834,0.0019474199882469775,0.001010361617422471,hydroxychloroquine,Chemical,MINO,blood,lymphoma,10 uM,24 h,3652.0
reverser,693197,-8.832,0.0019290276404298453,0.0010196995136955763,BRD-K53978514,Chemical,A549,lung,lung cancer,3.33 uM,24 h,
reverser,693196,-8.819,0.0019290276404298453,0.0011401104208584134,calcitriol,Chemical,SH4,skin of body,melanoma,10 uM,24 h,5280453.0
reverser,693195,-8.815,0.0019290276404298453,0.0010150484616511044,tomelukast,Chemical,MCF10A,breast,breast carcinoma,0.025 uM,24 h,3969.0
reverser,693194,-8.813,0.0019381557435784685,0.001010361617422471,BRD-K03552198,Chemical,VCAP,prostate gland,prostate adenocarcinoma,10 uM,6 h,
reverser,693193,-8.807,0.001964053606890052,0.001010361617422471,AVN-944,Chemical,JURKAT,blood,leukemia,0.01 uM,24 h,9918559.0
reverser,693192,-8.806,0.0019380173296954285,0.001010361617422471,scriptaid,Chemical,A549,lung,lung cancer,1.11 uM,24 h,5186.0
reverser,693191,-8.805,0.0019290276404298453,0.0010364487279826118,HG-6-64-01,Chemical,LNCAP,prostate gland,prostate carcinoma,3.33 uM,3 h,
reverser,693190,-8.788,0.0020127328412948642,0.001010361617422471,BRD-K41797142,Chemical,PC3,prostate gland,prostate adenocarcinoma,10 uM,6 h,
reverser,693189,-8.785,0.001985873099021446,0.001010361617422471,meglitinide,Chemical,HELA,uterine cervix,cervical adenocarcinoma,0.01 uM,24 h,41214.0
reverser,693188,-8.785,0.0019290276404298453,0.0010150484616511044,BRD-K46284961,Chemical,HA1E,kidney,,2.5 uM,24 h,
reverser,693187,-8.771,0.0019290276404298453,0.0011585185232074419,BRD-K44289311,Chemical,VCAP,prostate gland,prostate adenocarcinoma,10 uM,24 h,
reverser,693186,-8.764,0.0019290276404298453,0.0010715903214250594,BRD-K99999497,Chemical,MCF7,breast,breast adenocarcinoma,10 uM,24 h,
reverser,693185,-8.761,0.0019290276404298453,0.001010361617422471,acea,Chemical,NPC,connective tissue,,0.04 uM,24 h,5311006.0
reverser,693184,-8.75,0.0020385524635452533,0.001010361617422471,pemirolast,Chemical,MCF7,breast,breast adenocarcinoma,0.25 uM,24 h,57697.0
reverser,693183,-8.743,0.002145766979283173,0.001010361617422471,midostaurin,Chemical,A375,skin of body,melanoma,1.11 uM,24 h,9829523.0
reverser,693182,-8.738,0.0019474199882469775,0.001010361617422471,irsogladine,Chemical,PC3,prostate gland,prostate adenocarcinoma,0.125 uM,24 h,3752.0
reverser,693181,-8.732,0.001941201476453239,0.001010361617422471,masitinib,Chemical,RCC10RGB,kidney,carcinoma,1.11 uM,24 h,10074640.0
reverser,693180,-8.724,0.0020852360162304014,0.001010361617422471,diazoxide,Chemical,HEK293,kidney,,10 uM,24 h,3019.0
reverser,693179,-8.712,0.0019290276404298453,0.001197979598088365,pterostilbene,Chemical,MCLF117SZ,,,4 uM,6 h,5281727.0
reverser,693178,-8.708,0.0019381557435784685,0.001010361617422471,BRD-K77629773,Chemical,VCAP,prostate gland,prostate adenocarcinoma,0.04 uM,24 h,
reverser,693177,-8.702,0.0019290276404298453,0.0010147912789600173,olaparib,Chemical,JURKAT,blood,leukemia,0.12 uM,24 h,23725625.0
reverser,693176,-8.698,0.0019380173296954285,0.001010361617422471,ketotifen,Chemical,A549,lung,lung cancer,0.125 uM,24 h,3827.0
reverser,693175,-8.695,0.0019290276404298453,0.0015197675022377163,suprofen,Chemical,HT29,intestine,colon adenocarcinoma,0.04 uM,24 h,5359.0
reverser,693174,-8.692,0.0020164497078392577,0.001010361617422471,olanzapine,Chemical,NPC,central nervous system,,12.5 uM,24 h,135398745.0
reverser,693173,-8.69,0.0019290276404298453,0.0010200183393111939,MK-3207,Chemical,MCF10A,breast,breast carcinoma,0.03 uM,24 h,25019940.0
reverser,693172,-8.67,0.0019290276404298453,0.0012686898141598874,BRD-K34981405,Chemical,HA1E,kidney,,4 uM,24 h,
reverser,693171,-8.661,0.0019381557435784685,0.0010141984133431718,GSK-1070916,Chemical,MCF10A,breast,breast carcinoma,0.03 uM,24 h,46885626.0
